Year,Month,Day,Temperature,Humidity,Wind_Speed,Precipitation,Daylight,Air_Quality_Index_NOx,Cloud_Cover,Solar_radiation
2015,5,8,0.833922,0.345469,0.196474,0,-0.948225,0.264214,0.649511,11.45
2015,5,9,0.795053,0.598529,0.173804,0.018782,-0.767981,0.231884,0.525979,11.27
2015,5,10,0.766784,1.020295,0.146096,0.055863,-1.025472,0.225195,0.649511,10.24
2015,5,11,0.734982,1.273355,0.178841,0.121599,-0.819479,0.273133,0.690689,12.6
2015,5,12,0.749117,-0.41371,0.130982,0.000241,0.648222,0.267559,0.402446,21.26
2015,5,13,0.766784,0.598529,0.2267,0,-0.278747,0.208473,0.690689,17.18
2015,5,14,0.840989,0.176763,0.166247,0,0.854216,0.261984,0.073025,22.61
2015,5,15,0.858657,0.092409,0.168766,0,0.236236,0.285396,0.196558,18.61
2015,5,16,0.780919,0.935942,0.083123,0.039971,-1.179967,0.361204,0.731866,5.73
2015,5,17,0.770318,0.851589,0.11335,0.014688,-0.948225,0.280936,0.731866,9.17
2015,5,18,0.830389,0.429822,0.20403,0.002889,-1.10272,0.296544,0.814222,9.13
2015,5,19,0.840989,0.598529,0.269521,0.003853,-1.205716,0.270903,0.814222,5.34
2015,5,20,0.816254,1.020295,0.216625,0.267277,-1.231465,0.268673,0.896577,4.26
2015,5,21,0.681979,1.273355,0.312343,0.029617,-1.308713,0.283109,1.020109,5.28
2015,5,22,0.657244,1.442061,0.307305,0.002408,-1.308713,0.190635,0.814222,6.19
2015,5,23,0.70318,1.863828,0.118388,0.385986,-1.308713,0.365663,1.143642,1.5
2015,5,24,0.777385,1.442061,0.047859,0.02432,-1.154218,0.379041,0.814222,8.93
2015,5,25,0.844523,0.767235,0.057935,0.071033,0.210487,0.345596,0.402446,19.01
2015,5,26,0.777385,1.610768,0.083123,0.218878,-1.308713,0.335563,0.855399,2.63
2015,5,27,0.865724,0.598529,0.229219,0.001926,-0.458991,0.274247,0.731866,14.06
2015,5,28,0.904594,0.261116,0.196474,0.004334,0.828466,0.229654,0.731866,24.43
2015,5,29,0.908127,0.092409,0.166247,0,-0.072754,0.221851,0.608334,15.43
2015,5,30,0.890459,0.345469,0.163728,0.007464,0.751219,0.232999,0.443623,23.1
2015,5,31,0.869258,0.598529,0.11335,0.013243,-0.639235,0.25641,0.731866,13.03
2015,6,1,0.869258,0.514176,0.193955,0.013243,-1.205716,0.265329,0.567156,7.1
2015,6,2,0.876325,0.345469,0.186398,0.011076,-0.227249,0.25864,0.525979,15.39
2015,6,3,0.890459,0.008056,0.186398,0.001445,1.420697,0.211817,-0.00933,27
2015,6,4,0.890459,0.092409,0.183879,0,1.549443,0.216276,-0.379928,27.52
2015,6,5,0.869258,0.176763,0.15869,0,-0.021255,0.236343,0.361268,16.81
2015,6,6,0.883392,0.092409,0.138539,0.001445,0.210487,0.277592,0.402446,19.36
2015,6,7,0.890459,0.008056,0.18136,0,0.004494,0.22631,-0.132863,17.02
2015,6,8,0.897527,-0.076297,0.206549,0.000482,0.622473,0.243032,0.196558,21.48
2015,6,9,0.90106,0.008056,0.188917,0,0.287734,0.183946,0.15538,19.04
2015,6,10,0.886926,0.429822,0.151134,0.022634,-0.330245,0.221851,0.608334,13.57
2015,6,11,0.904594,0.261116,0.153652,0.005538,0.10749,0.209588,0.443623,17.55
2015,6,12,0.858657,0.682882,0.13602,0.186612,0.41648,0.253066,0.443623,19.1
2015,6,13,0.893993,0.092409,0.151134,0,-0.047005,0.270903,0.320091,15.89
2015,6,14,0.886926,0.176763,0.15869,0.003853,-0.047005,0.255295,0.361268,17.75
